ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,,Forte Accuracy,Forte Precision,Forte Recall,,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
0,hfc,64,64,0.02,-30,0.75,,0.5053,0.5349,0.9014,0.6713,,0.6232,0.6548,0.9152,0.7499,,0.6433,0.6821,0.9131,0.7614,,0.4776,0.5216,0.8501,,0.4673,0.4915,0.9044,,0.5786,0.5980,0.9468,,2.53,5.11,7.65,0.9373,5.1114,1.3216,2.2044,1.3808,2.2820,7.5684,0.9445,,./results/res_hfc_64_64_-30.0_0.75_0.02.log
1,hfc,64,64,0.02,-40,1,,0.4472,0.4664,0.9157,0.6180,,0.5960,0.6179,0.9290,0.7209,,0.6360,0.6618,0.9254,0.7473,,0.4348,0.4535,0.9133,,0.3975,0.4131,0.9133,,0.5266,0.5519,0.9202,,2.03,5.04,7.55,0.9301,4.9982,1.2946,2.4155,1.3825,2.2036,7.3820,0.9403,,./results/res_hfc_64_64_-40.0_1.0_0.02.log
2,hfc,64,64,0.02,-40,2,,0.7217,0.7888,0.8946,0.8384,,0.7817,0.8366,0.9131,0.8720,,0.7976,0.8537,0.9155,0.8805,,0.6940,0.7734,0.8712,,0.6848,0.7458,0.8933,,0.7916,0.8519,0.9180,,1.97,4.43,6.56,0.9276,4.4134,1.1576,1.8972,1.2092,1.9374,6.5677,0.9483,,./results/res_hfc_64_64_-40.0_2.0_0.02.log
3,hfc,64,64,0.02,-48,2,,0.6721,0.7274,0.8983,0.8039,,0.7471,0.7909,0.9180,0.8471,,0.7711,0.8160,0.9201,0.8599,,0.6661,0.7213,0.8970,,0.6262,0.6768,0.8933,,0.7312,0.7922,0.9047,,1.97,4.45,6.59,0.9279,4.4121,1.1611,1.9839,1.2195,1.9269,6.5714,0.9469,,./results/res_hfc_64_64_-48.0_2.0_0.02.log
4,hfc,64,64,0.02,-48,3,,0.7876,0.9002,0.8630,0.8812,,0.8344,0.9230,0.8898,0.9060,,0.8389,0.9267,0.8902,0.9078,,0.7604,0.8732,0.8548,,0.7798,0.8956,0.8578,,0.8229,0.9316,0.8758,,1.45,3.70,5.79,0.9363,3.6476,1.1059,1.6261,1.1031,1.2754,5.6991,0.9551,,./results/res_hfc_64_64_-48.0_3.0_0.02.log
5,hfc,64,64,0.02,-48,2.5,,0.7503,0.8316,0.8848,0.8574,,0.8085,0.8718,0.9075,0.8889,,0.8175,0.8788,0.9099,0.8932,,0.7223,0.8087,0.8712,,0.7187,0.7968,0.8800,,0.8140,0.8925,0.9024,,1.63,4.14,6.26,0.9311,4.1017,1.1020,1.7337,1.1287,1.7461,6.1541,0.9519,,./results/res_hfc_64_64_-48.0_2.5_0.02.log
6,hfc,64,64,0.02,-48,2.7,,0.7678,0.8587,0.8788,0.8686,,0.8185,0.8905,0.9018,0.8960,,0.8234,0.8946,0.9017,0.8978,,0.7305,0.8318,0.8571,,0.7586,0.8400,0.8867,,0.8154,0.9054,0.8914,,1.72,4.04,6.07,0.9280,3.9855,1.0849,1.8282,1.1382,1.6599,5.9996,0.9503,,./results/res_hfc_64_64_-48.0_2.7_0.02.log
7,hfc,64,64,0.02,-48,2.85,,0.7866,0.8869,0.8742,0.8805,,0.8327,0.9126,0.8979,0.9052,,0.8392,0.9170,0.8998,0.9082,,0.7531,0.8612,0.8571,,0.7833,0.8814,0.8756,,0.8234,0.9176,0.8891,,1.63,3.90,5.94,0.9294,3.8419,1.0761,1.7152,1.1168,1.5250,5.8294,0.9506,,./results/res_hfc_64_64_-48.0_2.85_0.02.log
8,hfc,64,64,0.02,-48,2.9,,0.7892,0.8934,0.8712,0.8822,,0.8350,0.9178,0.8957,0.9066,,0.8397,0.9211,0.8965,0.9085,,0.7557,0.8670,0.8548,,0.7856,0.8889,0.8711,,0.8264,0.9238,0.8869,,1.61,3.84,5.89,0.9326,3.7846,1.1010,1.7145,1.1174,1.4217,5.8259,0.9512,,./results/res_hfc_64_64_-48.0_2.9_0.02.log
9,hfc,64,64,0.02,-50,2.9,,0.7894,0.8897,0.8750,0.8823,,0.8353,0.9153,0.8984,0.9068,,0.8404,0.9179,0.9003,0.9088,,0.7546,0.8632,0.8571,,0.7904,0.8859,0.8800,,0.8230,0.9195,0.8869,,1.61,3.88,5.89,0.9294,3.8026,1.1127,1.8851,1.1459,1.4063,5.8572,0.9499,,./results/res_hfc_64_64_-50.0_2.9_0.02.log
