ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,,Forte Accuracy,Forte Precision,Forte Recall,,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
0,hfc,64,64,0.02,-48,0.75,,0.1015,0.1041,0.8072,0.1844,,0.1810,0.1832,0.8540,0.2925,,0.2029,0.2049,0.8459,0.3114,,0.0937,0.0959,0.8033,,0.0892,0.0912,0.8022,,0.1290,0.1329,0.8160,,0.67,5.08,8.40,0.9021,4.8055,1.4185,6.4389,2.2495,1.5144,7.1883,0.8842,,./results/res_hfc_64_64_-48.0_0.75_0.02.log
1,hfc,64,64,0.02,-20,0.75,,0.1144,0.1172,0.8268,0.2054,,0.2083,0.2107,0.8695,0.3270,,0.2384,0.2404,0.8619,0.3520,,0.1068,0.1094,0.8197,,0.0990,0.1013,0.8133,,0.1456,0.1496,0.8470,,0.73,4.98,8.24,0.9062,4.6708,1.3967,5.6622,2.1295,1.4859,7.0726,0.8994,,./results/res_hfc_64_64_-20.0_0.75_0.02.log
2,hfc,64,64,0.02,-10,0.75,,0.1276,0.1305,0.8532,0.2263,,0.2337,0.2361,0.8898,0.3579,,0.2717,0.2739,0.8864,0.3886,,0.1231,0.1257,0.8548,,0.1067,0.1092,0.8267,,0.1631,0.1669,0.8780,,0.73,4.99,8.36,0.9056,4.6986,1.4346,5.4665,2.1091,1.4322,7.1706,0.8984,,./results/res_hfc_64_64_-10.0_0.75_0.02.log
3,hfc,64,64,0.02,-10,3,,0.3303,0.5424,0.4578,0.4965,,0.4683,0.5832,0.5908,0.5808,,0.4828,0.6044,0.5990,0.5888,,0.3408,0.5590,0.4660,,0.3502,0.5498,0.4911,,0.3003,0.5179,0.4169,,0.22,2.70,5.05,0.9688,2.7137,0.8332,0.6356,0.7539,1.0626,4.3952,0.9475,,./results/res_hfc_64_64_-10.0_3.0_0.02.log
4,hfc,64,64,0.02,-30,3,,0.2560,0.3694,0.4548,0.4077,,0.3901,0.4493,0.5880,0.5090,,0.4026,0.4558,0.5949,0.5104,,0.2526,0.3568,0.4637,,0.2746,0.3812,0.4956,,0.2398,0.3697,0.4058,,0.22,2.70,5.05,0.9669,2.7116,0.8370,0.6403,0.7541,1.0499,4.3978,0.9480,,./results/res_hfc_64_64_-30.0_3.0_0.02.log
5,hfc,64,64,0.02,-30,3.6,,0.2725,0.4416,0.4157,0.4282,,0.4143,0.5072,0.5500,0.5255,,0.4254,0.5154,0.5534,0.5261,,0.2938,0.4745,0.4356,,0.2861,0.4410,0.4489,,0.2387,0.4100,0.3636,,0.05,1.80,3.50,0.9565,1.8425,0.7953,0.4452,0.6416,0.2342,3.4152,0.9723,,./results/res_hfc_64_64_-30.0_3.6_0.02.log
6,hfc,64,64,0.02,-40,3.6,,0.2544,0.3967,0.4149,0.4056,,0.3920,0.4702,0.5495,0.5055,,0.4064,0.4816,0.5529,0.5081,,0.2723,0.4208,0.4356,,0.2683,0.4000,0.4489,,0.2233,0.3688,0.3614,,0.05,1.80,3.50,0.9564,1.8443,0.7963,0.4470,0.6428,0.2321,3.4174,0.9719,,./results/res_hfc_64_64_-40.0_3.6_0.02.log
7,hfc,64,64,0.02,-10,3.6,,0.3207,0.5855,0.4149,0.4857,,0.4597,0.6088,0.5495,0.5672,,0.4718,0.6330,0.5529,0.5697,,0.3503,0.6414,0.4356,,0.3361,0.5836,0.4422,,0.2790,0.5355,0.3681,,0.05,1.80,3.50,0.9583,1.8424,0.7912,0.4394,0.6387,0.2431,3.4079,0.9723,,./results/res_hfc_64_64_-10.0_3.6_0.02.log
8,hfc,64,64,0.02,-20,2,,0.3206,0.4112,0.5926,0.4855,,0.4502,0.4985,0.6994,0.5820,,0.4569,0.5021,0.7089,0.5805,,0.2887,0.3801,0.5457,,0.3059,0.3900,0.5867,,0.3694,0.4647,0.6430,,0.96,3.85,6.25,0.9136,3.8092,1.2001,2.9146,1.4248,1.2420,6.0425,0.9269,,./results/res_hfc_64_64_-20.0_2.0_0.02.log
9,hfc,64,64,0.02,-20,2.2,,0.3088,0.4130,0.5505,0.4719,,0.4501,0.5032,0.6685,0.5742,,0.4568,0.5062,0.6791,0.5730,,0.2853,0.3874,0.5199,,0.3018,0.3956,0.5600,,0.3408,0.4589,0.5698,,0.99,3.58,5.77,0.9207,3.6224,1.0578,2.4896,1.3125,1.3465,5.5777,0.9335,,./results/res_hfc_64_64_-20.0_2.2_0.02.log
