ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,Piano f1-score,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,Mezzoforte f1-score,Forte Accuracy,Forte Precision,Forte Recall,Forte f1-score,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
0,hfc,64,64,0.02,-48,0.75,,0.5855,0.6131,0.9285,0.7385,,0.6372,0.6595,0.9417,0.7734,,0.6934,0.7146,0.9446,0.8011,,0.5365,0.5796,0.8782,0.6956,0.5531,0.5784,0.9267,0.6956,0.6753,0.6858,0.9778,0.6956,2.84,5.14,7.59,0.9400,5.0863,1.2221,2.3924,1.3564,2.4911,7.3796,0.9468,,./results/res_hfc_64_64_-48.0_0.75_0.02.log
1,hfc,64,64,0.02,-48,1,,0.7194,0.7642,0.9247,0.8368,,0.7600,0.7962,0.9383,0.8607,,0.7854,0.8155,0.9432,0.8708,,0.6943,0.7647,0.8829,0.8036,0.6829,0.7360,0.9044,0.8036,0.7817,0.7914,0.9845,0.8036,2.52,4.87,7.17,0.9503,4.8553,1.0878,1.8197,1.1874,2.5445,6.8956,0.9595,,./results/res_hfc_64_64_-48.0_1.0_0.02.log
2,hfc,64,64,0.02,-48,2,,0.7634,0.9377,0.8042,0.8658,,0.8225,0.9506,0.8512,0.8961,,0.8299,0.9585,0.8542,0.9004,,0.5762,0.9312,0.6019,0.8110,0.7824,0.9303,0.8311,0.8110,0.9200,0.9479,0.9690,0.8110,1.90,4.16,6.24,0.9532,4.0939,0.9816,0.8482,0.8807,2.1119,6.0384,0.9570,,./results/res_hfc_64_64_-48.0_2.0_0.02.log
3,hfc,64,64,0.02,-48,1.7,,0.8118,0.9233,0.8705,0.8961,,0.8565,0.9413,0.8987,0.9193,,0.8595,0.9426,0.8986,0.9196,,0.7082,0.9353,0.7447,0.8587,0.7988,0.9034,0.8733,0.8587,0.9213,0.9329,0.9867,0.8587,2.25,4.33,6.33,0.9516,4.2870,0.9951,0.9596,0.9190,2.2583,6.2388,0.9659,,./results/res_hfc_64_64_-48.0_1.7_0.02.log
4,hfc,64,64,0.02,-48,1.8,,0.7966,0.9276,0.8494,0.8868,,0.8456,0.9438,0.8836,0.9121,,0.8462,0.9445,0.8818,0.9111,,0.6704,0.9403,0.7002,0.8444,0.7967,0.9129,0.8622,0.8444,0.9130,0.9323,0.9778,0.8444,2.13,4.27,6.28,0.9530,4.2199,0.9927,0.8583,0.8842,2.2075,6.1784,0.9653,,./results/res_hfc_64_64_-48.0_1.8_0.02.log
5,hfc,64,64,0.02,-48,1.5,,0.8222,0.9136,0.8916,0.9024,,0.8642,0.9351,0.9138,0.9243,,0.8665,0.9346,0.9139,0.9239,,0.7550,0.9293,0.8009,0.8687,0.7920,0.8879,0.8800,0.8687,0.9158,0.9253,0.9889,0.8687,2.49,4.45,6.50,0.9476,4.4177,0.9985,1.0055,0.9433,2.3676,6.3616,0.9626,,./results/res_hfc_64_64_-48.0_1.5_0.02.log
6,hfc,64,64,0.02,-48,1.2,,0.7988,0.8656,0.9119,0.8882,,0.8435,0.8968,0.9284,0.9120,,0.8532,0.9004,0.9319,0.9153,,0.7754,0.8905,0.8571,0.8539,0.7444,0.8227,0.8867,0.8539,0.8780,0.8867,0.9889,0.8539,2.23,4.68,6.91,0.9521,4.6590,1.0391,1.2225,1.0016,2.4953,6.6517,0.9631,,./results/res_hfc_64_64_-48.0_1.2_0.02.log
7,hfc,64,64,0.02,-48,1.35,,0.8121,0.8913,0.9014,0.8963,,0.8556,0.9177,0.9208,0.9192,,0.8624,0.9190,0.9242,0.9213,,0.7657,0.9121,0.8267,0.8622,0.7728,0.8596,0.8844,0.8622,0.8956,0.9047,0.9889,0.8622,2.30,4.56,6.74,0.9515,4.5338,1.0179,1.0436,0.9575,2.4421,6.5136,0.9622,,./results/res_hfc_64_64_-48.0_1.35_0.02.log
8,hfc,64,64,0.02,-50,1.5,,0.7916,0.8646,0.9036,0.8837,,0.8415,0.8956,0.9253,0.9101,,0.8421,0.8955,0.9225,0.9086,,0.7574,0.8842,0.8407,0.8449,0.7543,0.8408,0.8800,0.8449,0.8607,0.8708,0.9867,0.8449,2.14,4.45,6.50,0.9475,4.4091,1.0005,1.0209,0.9511,2.3629,6.3650,0.9608,,./results/res_hfc_64_64_-50.0_1.5_0.02.log
9,hfc,64,64,0.02,-50,1.7,,0.7830,0.8734,0.8833,0.8783,,0.8352,0.9009,0.9107,0.9058,,0.8359,0.9023,0.9077,0.9047,,0.7128,0.8862,0.7845,0.8363,0.7602,0.8543,0.8733,0.8363,0.8708,0.8812,0.9867,0.8363,2.25,4.33,6.42,0.9523,4.2835,0.9910,0.9517,0.9162,2.2636,6.2275,0.9635,,./results/res_hfc_64_64_-50.0_1.7_0.02.log
