ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,Piano f1-score,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,Mezzoforte f1-score,Forte Accuracy,Forte Precision,Forte Recall,Forte f1-score,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
0,mkl,64,64,0.02,-49,2.2,,0.6071,0.9498,0.6273,0.7556,,0.6262,0.9626,0.6405,0.7692,,0.6156,0.9724,0.6281,0.7511,,0.2703,0.8146,0.2881,,0.6861,0.9635,0.7044,,0.8637,0.9899,0.8714,,2.51,4.10,6.35,0.9556,,,,,,,,,./results/res_mkl_64_64_-49.0_2.2_0.02.log
1,mkl,64,64,0.02,-49,1.8,,0.6824,0.9109,0.7312,0.8112,,0.7102,0.9349,0.7446,0.8289,,0.6909,0.9315,0.7248,0.8075,,0.3726,0.7867,0.4145,,0.7656,0.9202,0.82,,0.912,0.9659,0.9424,,2.05,4.29,6.55,0.9557,,,,,,,,,./results/res_mkl_64_64_-49.0_1.8_0.02.log
2,mkl,64,64,0.02,-49,1.6,,0.6957,0.8767,0.7711,0.8205,,0.7337,0.9058,0.7894,0.8435,,0.7155,0.8993,0.7710,0.8260,,0.4268,0.7636,0.4918,,0.761,0.8802,0.8489,,0.9038,0.9412,0.9579,,2.21,4.40,6.64,0.9541,,,,,,,,,./results/res_mkl_64_64_-49.0_1.6_0.02.log
3,mkl,64,64,0.02,-49,1.4,,0.7013,0.8474,0.8027,0.8244,,0.7448,0.8851,0.8191,0.8503,,0.7264,0.8776,0.7990,0.8328,,0.4881,0.7577,0.5785,,0.733,0.8323,0.86,,0.8889,0.9251,0.9579,,2.32,4.50,6.68,0.9522,,,,,,,,,./results/res_mkl_64_64_-49.0_1.4_0.02.log
4,mkl,64,64,0.02,-49,1.2,,0.7017,0.8153,0.8343,0.8247,,0.755,0.8639,0.8502,0.8558,,0.7384,0.8570,0.8301,0.8402,,0.5507,0.75,0.6745,,0.696,0.785,0.86,,0.866,0.8983,0.9601,,2.19,4.61,6.75,0.9504,,,,,,,,,./results/res_mkl_64_64_-49.0_1.2_0.02.log
5,mkl,64,64,0.02,-49,1.1,,0.6932,0.7778,0.8645,0.8188,,0.7585,0.8422,0.8775,0.8564,,0.7501,0.8429,0.8633,0.8482,,0.5996,0.7386,0.7611,,0.6599,0.7345,0.8667,,0.8279,0.8574,0.9601,,2.31,4.67,6.97,0.9538,4.628,1.1003,1.1938,0.9783,2.3152,6.7164,0.9647,,./results/res_mkl_64_64_-49_1.1_0.02.log
6,mkl,64,64,0.02,-49,1,,0.6772,0.7508,0.8735,0.8075,,0.7493,0.8263,0.8839,0.8494,,0.7441,0.8305,0.8700,0.8439,,0.6029,0.7245,0.7822,,0.6334,0.6961,0.8756,,0.8045,0.834,0.9579,,2.44,4.79,6.99,0.9466,,,,,,,,,./results/res_mkl_64_64_-49.0_1.0_0.02.log
7,mkl,64,64,0.02,-49,1.15,,0.6974,0.7965,0.8486,0.8217,,0.757,0.8533,0.8633,0.8562,,0.7454,0.8505,0.8478,0.8453,,0.5741,0.7427,0.7166,,0.6736,0.7549,0.8622,,0.854,0.8855,0.9601,,2.25,4.64,6.83,0.953,,,,,,,,,./results/res_mkl_64_64_-49.0_1.15_0.02.log
8,mkl,64,64,0.02,-50,1.1,,0.6904,0.7712,0.8682,0.8169,,0.7561,0.8363,0.8809,0.8548,,0.7477,0.8372,0.8662,0.8466,,0.6011,0.7301,0.7728,,0.6533,0.7263,0.8667,,0.8263,0.8557,0.9601,,2.31,4.68,6.93,0.9532,,,,,,,,,./results/res_mkl_64_64_-50.0_1.1_0.02.log
9,mkl,64,64,0.02,-50,1.2,,0.7013,0.8112,0.8381,0.8244,,0.7542,0.8595,0.8536,0.8553,,0.7377,0.8536,0.8331,0.8399,,0.5549,0.7437,0.6862,,0.6923,0.7802,0.86,,0.866,0.8983,0.9601,,2.19,4.61,6.75,0.9506,,,,,,,,,./results/res_mkl_64_64_-50.0_1.2_0.02.log
